0.000000	2.604728
0.002000	2.591161
0.004000	2.577595
0.006000	2.564029
0.008000	2.560637
0.010000	2.560637
0.012000	2.553854
0.014000	2.557246
0.016000	2.550462
0.018000	2.553854
0.020000	2.550462
0.022000	2.553854
0.024000	2.550462
0.026000	2.547071
0.028000	2.540288
0.030000	2.536896
0.032000	2.528417
0.034000	2.521634
0.036000	2.508068
0.038000	2.501285
0.040000	2.501285
0.042000	2.494502
0.044000	2.494502
0.046000	2.494502
0.048000	2.487718
0.050000	2.477544
0.052000	2.477544
0.054000	2.470761
0.056000	2.474152
0.058000	2.470761
0.060000	2.467369
0.062000	2.467369
0.064000	2.477544
0.066000	2.484327
0.068000	2.494502
0.070000	2.504676
0.072000	2.514851
0.074000	2.514851
0.076000	2.521634
0.078000	2.525026
0.080000	2.536896
0.082000	2.540288
0.084000	2.547071
0.086000	2.550462
0.088000	2.560637
0.090000	2.564029
0.092000	2.570812
0.094000	2.574203
0.096000	2.591161
0.098000	2.601336
0.100000	2.614902
0.102000	2.628469
0.104000	2.621686
0.106000	2.614902
0.108000	2.614902
0.110000	2.604728
0.112000	2.597945
0.114000	2.594553
0.116000	2.591161
0.118000	2.584378
0.120000	2.594553
0.122000	2.597945
0.124000	2.604728
0.126000	2.608119
0.128000	2.611511
0.130000	2.611511
0.132000	2.611511
0.134000	2.611511
0.136000	2.611511
0.138000	2.604728
0.140000	2.604728
0.142000	2.597945
0.144000	2.580987
0.146000	2.567420
0.148000	2.553854
0.150000	2.531809
0.152000	2.528417
0.154000	2.518243
0.156000	2.511459
0.158000	2.504676
0.160000	2.508068
0.162000	2.514851
0.164000	2.518243
0.166000	2.521634
0.168000	2.518243
0.170000	2.508068
0.172000	2.508068
0.174000	2.501285
0.176000	2.504676
0.178000	2.514851
0.180000	2.518243
0.182000	2.518243
0.184000	2.518243
0.186000	2.511459
0.188000	2.501285
0.190000	2.497893
0.192000	2.497893
0.194000	2.494502
0.196000	2.487718
0.198000	2.487718
0.200000	2.504676
0.202000	2.511459
0.204000	2.528417
0.206000	2.536896
0.208000	2.540288
0.210000	2.543679
0.212000	2.547071
0.214000	2.553854
0.216000	2.570812
0.218000	2.580987
0.220000	2.594553
0.222000	2.611511
0.224000	2.604728
0.226000	2.594553
0.228000	2.587770
0.230000	2.577595
0.232000	2.564029
0.234000	2.553854
0.236000	2.543679
0.238000	2.536896
0.240000	2.540288
0.242000	2.540288
0.244000	2.536896
0.246000	2.536896
0.248000	2.543679
0.250000	2.543679
0.252000	2.543679
0.254000	2.547071
0.256000	2.564029
0.258000	2.580987
0.260000	2.597945
0.262000	2.618294
0.264000	2.621686
